scenario,model_seed,n_evaluated,gate_trigger_rate,mean_a_local,mean_a_neighbor,dlpif_f1,dlpif_precision,dlpif_recall,dlpif_csi,dlpif_signed_frequency_bias,dlpif_false_wet_rate,dlpif_rmse_wet,dlpif_rmse_p95,linear_f1,linear_precision,linear_recall,linear_csi,linear_signed_frequency_bias,linear_false_wet_rate,linear_rmse_wet,linear_rmse_p95,gated_f1,gated_precision,gated_recall,gated_csi,gated_signed_frequency_bias,gated_false_wet_rate,gated_rmse_wet,gated_rmse_p95,delta_f1,delta_rmse_wet
10pct,42,416,0.0,0.9022,0.9887,0.8173,0.7688,0.8723,0.691,0.0457,0.1345,5.4211,17.62,0.6744,0.568,0.8298,0.5087,0.1562,0.3236,6.9221,24.55,0.8173,0.7688,0.8723,0.691,0.0457,0.1345,5.4211,17.62,0.0,0.0
10pct,123,416,0.0,0.9022,0.9887,0.811,0.7867,0.8369,0.6821,0.0216,0.1164,5.4283,17.58,0.6744,0.568,0.8298,0.5087,0.1562,0.3236,6.9221,24.55,0.811,0.7867,0.8369,0.6821,0.0216,0.1164,5.4283,17.58,0.0,0.0
10pct,456,416,0.0,0.9022,0.9887,0.8068,0.7727,0.844,0.6761,0.0312,0.1273,5.3752,17.32,0.6744,0.568,0.8298,0.5087,0.1562,0.3236,6.9221,24.55,0.8068,0.7727,0.844,0.6761,0.0312,0.1273,5.3752,17.32,0.0,0.0
mar_meteo,42,417,0.0048,0.8961,0.989,0.8058,0.7724,0.8421,0.6747,0.0288,0.1162,5.2051,19.08,0.7015,0.5938,0.8571,0.5403,0.1415,0.2746,8.1024,31.73,0.8014,0.7708,0.8346,0.6687,0.0264,0.1162,5.1994,19.08,-0.0044,-0.0057
mar_meteo,123,417,0.0048,0.8961,0.989,0.8178,0.8088,0.8271,0.6918,0.0072,0.0915,5.1805,19.34,0.7015,0.5938,0.8571,0.5403,0.1415,0.2746,8.1024,31.73,0.8134,0.8074,0.8195,0.6855,0.0048,0.0915,5.1744,19.34,-0.0044,-0.0061
mar_meteo,456,417,0.0048,0.8961,0.989,0.812,0.812,0.812,0.6835,0.0,0.088,5.3144,19.67,0.7015,0.5938,0.8571,0.5403,0.1415,0.2746,8.1024,31.73,0.8075,0.8106,0.8045,0.6772,-0.0024,0.088,5.3099,19.67,-0.0045,-0.0045
mnar_wet,42,417,0.0,0.8933,0.9897,0.8433,0.9059,0.7888,0.7291,-0.0719,0.1027,5.5451,17.04,0.824,0.7928,0.8578,0.7007,0.0456,0.2811,7.2825,22.45,0.8433,0.9059,0.7888,0.7291,-0.0719,0.1027,5.5451,17.04,0.0,0.0
mnar_wet,123,417,0.0,0.8933,0.9897,0.8357,0.9175,0.7672,0.7177,-0.0911,0.0865,5.5712,17.1,0.824,0.7928,0.8578,0.7007,0.0456,0.2811,7.2825,22.45,0.8357,0.9175,0.7672,0.7177,-0.0911,0.0865,5.5712,17.1,0.0,0.0
mnar_wet,456,417,0.0,0.8933,0.9897,0.8384,0.9179,0.7716,0.7218,-0.0887,0.0865,5.5979,17.14,0.824,0.7928,0.8578,0.7007,0.0456,0.2811,7.2825,22.45,0.8384,0.9179,0.7716,0.7218,-0.0887,0.0865,5.5979,17.14,0.0,0.0
mnar_intensity_moderate,42,417,0.0,0.9045,0.9911,0.8824,0.9,0.8654,0.7895,-0.0192,0.0957,6.3843,16.12,0.822,0.7571,0.899,0.6978,0.0935,0.2871,8.6144,22.59,0.8824,0.9,0.8654,0.7895,-0.0192,0.0957,6.3843,16.12,0.0,0.0
