method,scenario,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,csi,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn
DirectTwoStageRF_seed42,10pct,416,0.3389,0.363,0.024,0.7815,0.8369,0.8082,0.6782,5.4236,3.4423,14.62,17.62,118,33,23,242
DirectTwoStageRF_seed42,20pct,833,0.3673,0.3397,-0.0276,0.7986,0.7386,0.7674,0.6226,4.8466,3.1933,12.72,14.99,226,57,80,470
DirectTwoStageRF_seed42,block7d,840,0.3262,0.3238,-0.0024,0.7904,0.7847,0.7875,0.6495,4.9129,3.2832,13.45,15.45,215,57,59,509
DirectTwoStageRF_seed42,block30d,840,0.3262,0.3512,0.025,0.7729,0.8321,0.8014,0.6686,6.0672,3.9545,18.58,20.26,228,67,46,499
DirectTwoStageRF_seed42,netblock30d,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,6.4085,4.1804,23.33,23.68,0,0,214,626
DirectTwoStageRF_seed42,mar_meteo,417,0.3189,0.3261,0.0072,0.8088,0.8271,0.8178,0.6918,5.1987,3.2281,15.05,19.08,110,26,23,258
DirectTwoStageRF_seed42,mnar_wet,417,0.5564,0.4748,-0.0815,0.9141,0.7802,0.8419,0.7269,5.5444,3.5626,15.81,17.04,181,17,51,168
DirectTwoStageRF_seed42,mnar_intensity_moderate,417,0.4988,0.4508,-0.048,0.9149,0.8269,0.8687,0.7679,6.4706,4.2856,13.96,16.12,172,16,36,193
DirectTwoStageRF_seed42,mnar_intensity_severe,417,0.7362,0.6906,-0.0456,0.9618,0.9023,0.9311,0.8711,9.8789,6.6486,19.41,21.6,277,11,30,99
DirectTwoStageRF_seed123,10pct,416,0.3389,0.3894,0.0505,0.7531,0.8652,0.8053,0.674,5.4211,3.4703,14.47,17.58,122,40,19,235
DirectTwoStageRF_seed123,20pct,833,0.3673,0.3613,-0.006,0.7774,0.7647,0.771,0.6273,4.8135,3.1928,12.49,14.87,234,67,72,460
DirectTwoStageRF_seed123,block7d,840,0.3262,0.344,0.0179,0.7751,0.8175,0.7957,0.6608,4.8824,3.2942,13.79,15.75,224,65,50,501
DirectTwoStageRF_seed123,block30d,840,0.3262,0.375,0.0488,0.7302,0.8394,0.781,0.6407,6.0645,3.9287,18.69,20.39,230,85,44,481
DirectTwoStageRF_seed123,netblock30d,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,6.4085,4.1804,23.33,23.68,0,0,214,626
DirectTwoStageRF_seed123,mar_meteo,417,0.3189,0.3357,0.0168,0.7857,0.8271,0.8059,0.6748,5.1805,3.2003,15.54,19.34,110,30,23,254
DirectTwoStageRF_seed123,mnar_wet,417,0.5564,0.4844,-0.0719,0.9109,0.7931,0.8479,0.736,5.5626,3.5604,15.88,17.1,184,18,48,167
DirectTwoStageRF_seed123,mnar_intensity_moderate,417,0.4988,0.4748,-0.024,0.904,0.8606,0.8818,0.7885,6.3705,4.2198,13.88,16.06,179,19,29,190
DirectTwoStageRF_seed123,mnar_intensity_severe,417,0.7362,0.7242,-0.012,0.957,0.9414,0.9491,0.9031,9.6898,6.5448,19.06,21.16,289,13,18,97
DirectTwoStageRF_seed456,10pct,416,0.3389,0.3774,0.0385,0.7643,0.8511,0.8054,0.6742,5.3647,3.3817,14.39,17.32,120,37,21,238
DirectTwoStageRF_seed456,20pct,833,0.3673,0.3373,-0.03,0.8007,0.7353,0.7666,0.6215,4.8559,3.2076,12.28,14.72,225,56,81,471
DirectTwoStageRF_seed456,block7d,840,0.3262,0.319,-0.0071,0.8022,0.7847,0.7934,0.6575,4.8801,3.2896,13.49,15.36,215,53,59,513
DirectTwoStageRF_seed456,block30d,840,0.3262,0.3524,0.0262,0.7703,0.8321,0.8,0.6667,6.0968,3.966,18.81,20.43,228,68,46,498
DirectTwoStageRF_seed456,netblock30d,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,6.4085,4.1804,23.33,23.68,0,0,214,626
DirectTwoStageRF_seed456,mar_meteo,417,0.3189,0.3237,0.0048,0.8,0.812,0.806,0.675,5.3144,3.2617,15.43,19.67,108,27,25,257
DirectTwoStageRF_seed456,mnar_wet,417,0.5564,0.4724,-0.0839,0.9188,0.7802,0.8438,0.7298,5.5955,3.608,15.92,17.14,181,16,51,169
DirectTwoStageRF_seed456,mnar_intensity_moderate,417,0.4988,0.458,-0.0408,0.9162,0.8413,0.8772,0.7812,6.422,4.2557,14.11,16.21,175,16,33,193
DirectTwoStageRF_seed456,mnar_intensity_severe,417,0.7362,0.6954,-0.0408,0.9621,0.9088,0.9347,0.8774,9.812,6.612,19.27,21.42,279,11,28,99
